Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Average.Packet.Size,SYN.Flag.Count,ACK.Flag.Count,PSH.Flag.Count,ProtocolName
80,6,5184315.0,8.0,7.0,1206.0,1090.0,153.0666666667,0,0,1,HTTP
20,6,67.7247421875,6.1223721308,0.0,6262.4351421819,0.0,1539.6161577938,1,1,0,FTP_DATA
0,0,624.0,4.0,4.0,0.0,0.0,0.0,0,0,0,IP_ICMP
80,6,184299.0,5.0,5.0,3524.0,919.0,444.3,0,0,1,HTTP
55343,6,283.0,1.0,1.0,6.0,6.0,9.0,0,1,0,FTP_DATA
0,1,542.6627058123,1.9478560495,4.010612684,0.0,0.0,0.0,0,0,0,IP_ICMP
22,6,24001846.62047436,18.0717769068,12.4803030577,2454.4669220443,1948.9912277064,165.3801829979,1,1,1,SSH
20,6,307295.4609693033,8.2843094293,21.6910283129,2811.9511902642,1457.4497752141,203.1253662253,0,1,1,FTP_DATA
443,6,1151132.0,52.0,61.0,3107.0,92877.0,849.4159292035,0,0,1,SSL
80,6,38.0,1.0,1.0,0.0,0.0,0.0,0,1,0,HTTP
443,6,95457.0,1.0,1.0,0.0,0.0,0.0,0,1,0,SSL
53,17,117650896.0,318.0,312.0,12685.0,43142.0,88.8333333333,0,0,0,DNS
22,6,135028144.96200004,748.7017283358,1086.8773077495,167441.5957986622,701366.5800675106,485.5078621373,1,1,0,SSH
53,17,119456899.0,1300.0,493.0,50000.0,63783.0,63.48243,0,0,0,DNS
53,17,119907071.0,1278.0,640.0,50810.0,81980.0,69.25547,0,0,0,DNS
51246,6,151.0,2.0,0.0,12.0,0.0,9.0,0,1,0,HTTP
53,17,119962247.0,549.0,334.0,21198.0,42971.0,72.7089467724,0,0,0,DNS
20,6,286269.9111543901,4.7214026033,6.7712588188,6014.600239498,7883.7602993695,1207.6630755375,0,1,1,FTP_DATA
53,17,119977476.0,1964.0,1950.0,74538.0,251529.0,83.3208993357,0,0,0,DNS
80,6,10277772.0,11.0,8.0,5436.0,1999.0,391.3157894737,0,0,1,HTTP
