Destination.Port,Protocol,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Average.Packet.Size,SYN.Flag.Count,ACK.Flag.Count,PSH.Flag.Count,ProtocolName
52987,6,482.0,1.0,1.0,6.0,6.0,9.0,0,1,0,HTTP
50378,6,406.0,1.0,1.0,6.0,6.0,9.0,0,1,0,HTTP
0,0,58.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
80,6,6221589.0,9.0,11.0,2677.0,1700.0,218.85,0,0,1,HTTP
0,0,390.0,3.0,3.0,0.0,0.0,0.0,0,0,0,IP_ICMP
3128,6,89997583.0,3.0,2.0,18.0,0.0,4.8,0,1,0,GMAIL
0,1,762.4614032221097,3.095971513930669,4.881721909939915,0.0,0.0,0.0,0,0,0,IP_ICMP
443,6,514233.0,9.0,13.0,802.0,10944.0,544.5909090909,1,1,0,GMAIL
53,17,177.2774414477234,1.0835047716080055,1.0744779736113093,39.22202036302679,99.22239640098697,88.9653104691683,0,0,0,DNS
22,6,18830316.321830835,17.285029392863557,12.352459846043928,2724.355685075723,2468.414133225551,226.7431159680529,1,1,1,SSH
20,6,70.29803775140293,0.9791405581952584,3.090902005725406,0.0,0.0,0.0,0,1,0,FTP_DATA
22,6,9923041.69566327,2.512809856075468,0.0,997.8424514242736,0.0,331.64850141436654,1,1,0,SSH
53,17,77643655.0,462.0,318.0,18339.0,38349.0,72.7307692308,0,0,0,DNS
22,6,23604522.89503689,12.414904615860918,9.99600949964946,1892.752414746259,1291.501650768162,103.13887262507326,1,1,1,SSH
22,6,57011650.16688416,3.2720557947041664,0.0,781.8538964512701,0.0,414.0730228063303,1,1,0,SSH
53,17,119492692.0,986.0,996.0,38527.0,133661.0,86.8995963673,0,0,0,DNS
80,6,45355546.0,9.0,10.0,2936.0,440.0,177.6842105263,0,0,1,FTP_DATA
22,6,83527219.31402268,37.56661952792642,39.1908109539582,2119.3227390571487,5907.671363747295,138.53648592833085,1,1,0,SSH
443,6,9995496.0,83.0,103.0,1717.0,160186.0,870.4462365591,0,0,1,SSL
2516,6,59.0,10.0,0.0,14388.0,0.0,1584.8,0,1,0,HTTP
443,6,91488453.0,679.0,1061.0,30047.0,1530252.0,896.7235632184,0,0,1,GMAIL
443,6,4406118.0,27.0,19.0,3361.0,1933.0,115.0869565217,0,0,1,GMAIL
20,6,68418297.95605949,5.136101194461007,3.19030716461928,0.0,408.65988050232846,66.63431587838505,0,1,1,FTP_DATA
22,6,27205003.153958097,1.5950797201145348,0.0,665.9891738045785,0.0,333.8442108876128,1,1,0,SSH
22,6,39208345.3179314,2.020527359784216,0.0,457.705713887773,0.0,467.11947187064527,1,1,0,SSH
443,6,493515.0,13.0,13.0,1247.0,5798.0,270.9615384615,0,0,1,SSL
3128,6,117123679.0,356.0,315.0,363646.0,63662.0,637.5946348733,1,1,0,GMAIL
49929,6,1.0,2.0,0.0,0.0,0.0,0.0,0,1,0,HTTP
53,17,119538220.0,344.0,341.0,13716.0,45460.0,86.4467153285,0,0,0,DNS
443,6,119102.0,10.0,8.0,360.0,494.0,54.88889,1,1,0,SSL
22,6,90144900.89692378,3479.177682084412,2876.819025233145,6491017.397736839,99587.04951833082,983.6507391446396,1,1,0,SSH
