[2026-05-29 17:31:40,253] 16 root -INFO - Initiate the data ingestion
[2026-05-29 17:31:47,083] 65 root -INFO - Performed train test split on the dataframe
[2026-05-29 17:31:47,084] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-29 17:31:47,085] 75 root -INFO - Exporting train and test file path.
[2026-05-29 17:31:47,262] 84 root -INFO - Exported train and test file path.
[2026-05-29 17:31:47,266] 21 root -INFO - data Transformation started
[2026-05-29 17:31:47,266] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 17:31:47,267] 56 root -INFO - Starting data transformation
[2026-05-29 17:31:47,805] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 17:31:47,805] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 17:31:47,827] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:31:47,833] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:31:47,833] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:31:47,835] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:31:47,836] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:31:47,839] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:31:47,839] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:31:47,841] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:31:47,843] 54 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-05-29 17:31:47,843] 56 root -INFO - Starting data transformation
[2026-05-29 17:31:47,895] 39 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-05-29 17:31:47,895] 44 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-29 17:31:47,913] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:31:47,916] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:31:47,917] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:31:47,918] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:31:47,918] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:31:47,922] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:31:47,922] 50 root -INFO - Entered the save_object method of MainUtils class
[2026-05-29 17:31:47,923] 54 root -INFO - Exited the save_object method of MainUtils class
[2026-05-29 17:31:47,926] 26 root -INFO - data transformation completed
[2026-05-29 17:31:47,926] 28 root -INFO - Model Training Started
